,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Countries,Max Bid,Duration,Duration Days,Frequency Cap,conversion
0,2,1,1,2,1,1,10,3,0.178913738019,0.0445445445445,0.0,4,-1.0,0.000785083415113
3,2,1,1,2,1,1,10,3,0.297124600639,0.374374374374,0.15637561031,4,-1.0,0.000894231169155
4,1,1,1,2,1,1,10,3,0.297124600639,0.374374374374,0.725036902464,4,-1.0,0.000443186309935
5,1,1,1,2,1,1,10,3,0.297124600639,0.374374374374,0.725036902464,4,-1.0,0.000417362270451
6,1,1,1,2,1,1,10,3,0.297124600639,0.374374374374,0.725036902464,4,-1.0,0.000563854817826
7,2,1,1,2,1,1,10,3,0.178913738019,0.044044044044,0.0182809129102,4,-1.0,8.12730612311e-05
11,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.136573180425,4,-1.0,0.000151466604527
12,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.136550471216,4,-1.0,0.00015503961816
13,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.136505052799,4,-1.0,0.000166112956811
14,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.136527762007,4,-1.0,0.000160322977926
15,1,1,1,2,1,1,10,3,0.297124600639,0.249249249249,0.433655047122,4,-1.0,0.000128058946518
16,2,1,1,2,1,1,10,3,0.178913738019,0.0447947947948,0.00445100488248,4,-1.0,5.24917850356e-05
17,2,1,1,2,1,1,10,3,0.178913738019,0.0447947947948,0.0109912569547,4,-1.0,0.000265596411497
27,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.0388327466788,4,-1.0,0.000765365064695
28,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000182448458311
29,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.00138312586445
31,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000298900047824
34,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000417014178482
37,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000530785562633
40,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000490367775832
41,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000334858801205
42,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000404612583451
44,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000149566257852
46,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.000581564408258
47,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.00197570114682,4,-1.0,0.0002171635187
50,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.133643692517,4,-1.0,8.73981895129e-05
51,2,1,1,1,1,1,2,3,0.121405750799,-1.0,0.0625411604406,4,-1.0,0.000111169121982
52,2,1,1,2,1,1,10,3,0.178913738019,0.0447947947948,0.0175996366527,4,-1.0,0.000286377629816
53,2,1,1,2,1,1,10,3,0.178913738019,0.0442942942943,0.00903826501646,4,-1.0,9.69777574586e-05
54,2,1,1,1,1,1,10,3,0.0159744408946,-1.0,0.10169183604,4,-1.0,0.000336050911713
55,2,1,1,2,1,1,10,3,0.0159744408946,0.0648148148148,0.0623594867719,4,-1.0,0.000856856610539
56,2,1,1,2,1,1,1,3,0.0766773162939,0.136636636637,0.0015669353923,4,-1.0,0.000165623240253
57,2,1,1,2,1,1,1,3,0.0766773162939,0.136636636637,0.0997388441013,4,-1.0,0.00010973271421
58,2,1,1,1,1,1,10,3,0.0159744408946,-1.0,0.135982741001,4,-1.0,0.000198289537209
59,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0189621891677,4,-1.0,0.000306138068269
88,1,1,1,2,1,2,10,3,1.0,0.174174174174,-1.0,4,-1.0,0.000905387052965
89,1,1,1,2,1,2,10,3,1.0,0.174174174174,-1.0,4,-1.0,1.23968735085e-05
90,1,1,1,2,1,1,10,3,1.0,0.0990990990991,-1.0,4,-1.0,0.0171650055371
91,1,1,1,2,1,1,10,3,1.0,0.0990990990991,-1.0,4,-1.0,0.00165243734508
92,1,1,1,2,1,1,10,3,1.0,0.0990990990991,-1.0,4,-1.0,6.48760866745e-06
129,2,1,1,2,1,1,10,3,1.0,0.149149149149,1.0,4,-1.0,0.0251633409853
130,2,1,1,2,1,1,10,3,1.0,0.149149149149,1.0,4,-1.0,0.00213447171825
131,2,1,1,2,1,1,10,3,1.0,0.149149149149,1.0,4,-1.0,0.00120963989951
132,2,1,1,2,1,1,10,3,1.0,0.149149149149,1.0,4,-1.0,0.0116699083079
133,2,1,1,2,1,1,10,3,1.0,0.149149149149,1.0,4,-1.0,0.00349497597204
134,2,1,1,2,1,1,10,3,1.0,0.149149149149,1.0,4,-1.0,0.00109425573332
135,2,1,1,2,1,1,10,3,1.0,0.149149149149,1.0,4,-1.0,0.000752738881231
136,2,1,1,2,1,2,10,3,1.0,0.199199199199,0.423208811173,4,-1.0,0.00137237754669
137,2,1,1,2,1,2,10,3,1.0,0.199199199199,0.423208811173,4,-1.0,0.00086236733368
138,2,1,1,2,1,2,10,3,1.0,0.199199199199,0.423208811173,4,-1.0,0.00377403170187
140,1,1,1,2,1,1,10,3,1.0,0.0990990990991,-1.0,4,-1.0,0.000199005736723
142,1,1,1,2,1,1,10,3,1.0,0.0990990990991,-1.0,4,-1.0,0.000120435287539
143,1,1,1,2,1,1,10,3,1.0,0.0990990990991,-1.0,4,-1.0,0.00134438718351
166,2,1,1,2,1,1,10,3,0.178913738019,0.0447947947948,0.0407630294084,4,-1.0,7.97957229492e-05
172,1,1,1,2,1,2,3,3,0.466453674121,0.0740740740741,0.203429090496,4,-1.0,0.000292412749196
174,1,1,1,2,1,2,3,3,0.466453674121,0.0740740740741,0.203383672079,4,-1.0,0.000367579489065
176,1,1,1,2,1,2,3,3,0.466453674121,0.0740740740741,0.203429090496,4,-1.0,0.000214408233276
178,1,1,1,2,1,2,3,3,0.466453674121,0.249249249249,0.203383672079,4,-1.0,0.000160913991472
179,1,1,1,2,1,2,4,3,0.466453674121,0.0740740740741,0.135301464744,4,-1.0,4.17410178547e-05
180,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.105007380493,4,-1.0,0.000310093544886
182,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.341183149767,4,-1.0,0.000149893371306
183,2,1,1,2,1,2,5,3,0.466453674121,0.249249249249,0.00233904848416,4,-1.0,9.10415149308e-05
184,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.201385261724,4,-1.0,0.000201417849584
185,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.105030089701,4,-1.0,0.000101072815744
186,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.303008970137,4,-1.0,6.60066006601e-05
187,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.341160440559,4,-1.0,0.00012356962829
188,2,1,1,2,1,2,10,3,0.466453674121,0.374374374374,0.00236175769274,4,-1.0,0.00022174353776
191,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.341183149767,4,-1.0,0.000205942033375
193,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.201430680141,4,-1.0,0.000131608710852
194,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.105075508119,4,-1.0,5.85868843495e-05
195,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.302918133303,4,-1.0,8.28397465104e-05
196,2,1,1,2,1,1,10,3,0.466453674121,0.0740740740741,0.34113773135,4,-1.0,0.000165024145638
197,2,1,1,2,1,2,6,3,0.466453674121,0.249249249249,0.00240717610991,4,-1.0,0.00033836653555
198,2,1,1,2,1,1,3,3,0.466453674121,0.499499499499,0.105416146247,4,-1.0,0.000560102925845
199,1,1,1,2,1,1,3,3,0.466453674121,0.124124124124,-1.0,4,-1.0,0.000594726756096
200,2,1,1,2,1,1,3,3,0.466453674121,0.124124124124,0.106778698762,4,-1.0,0.000673905856623
201,1,1,1,2,1,1,3,3,0.466453674121,0.124124124124,-1.0,4,-1.0,0.000491141398164
202,2,1,1,2,1,1,3,3,0.466453674121,0.499499499499,0.106687861928,4,-1.0,0.000737337959549
203,1,1,1,2,1,1,3,3,0.466453674121,0.124124124124,-1.0,4,-1.0,0.000561533110176
204,2,1,1,2,1,1,3,3,0.466453674121,0.0740740740741,0.384716702623,4,-1.0,0.0010104071941
205,2,1,1,2,1,1,3,3,0.466453674121,0.0740740740741,0.384807539457,4,-1.0,0.000904507710558
206,2,1,1,2,1,1,3,3,0.466453674121,0.0740740740741,0.384852957874,4,-1.0,0.000808543257064
207,2,1,1,1,1,2,10,3,0.297124600639,-1.0,0.63415464971,4,-1.0,0.00072387103959
210,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.0339502668332,4,-1.0,0.000899853773762
211,2,1,1,1,1,1,10,3,0.297124600639,-1.0,0.0339502668332,4,-1.0,0.000127980888187
213,2,1,1,2,1,1,10,3,0.297124600639,0.374374374374,0.207925513796,4,-1.0,0.000411974732216
216,2,1,1,2,1,1,10,3,0.178913738019,0.0457957957958,0.0707846031566,4,-1.0,5.42446433415e-05
217,2,1,1,2,1,1,7,3,0.0766773162939,0.156656656657,0.0309526513001,4,-1.0,0.000203746418716
218,2,1,1,2,1,1,7,3,0.0766773162939,0.156656656657,0.0310889065516,4,-1.0,0.000134898151895
219,2,1,1,2,1,1,1,3,0.0766773162939,0.119369369369,0.0151016237084,4,-1.0,0.00810036488319
220,2,1,1,2,1,1,1,3,0.0766773162939,0.136636636637,0.0011354604292,4,-1.0,0.000195256299585
221,2,1,1,2,1,1,1,3,0.0766773162939,0.136636636637,0.00154422618372,4,-1.0,8.32639467111e-05
222,2,1,1,2,1,1,1,3,0.0766773162939,0.136636636637,0.0635176564097,4,-1.0,0.000113406909523
223,1,1,1,2,1,1,1,3,0.0766773162939,0.170670670671,0.19936414216,4,-1.0,8.49096655503e-05
224,1,1,1,2,1,1,3,3,0.0766773162939,0.170670670671,0.198183263313,4,-1.0,3.66133840225e-05
225,1,1,1,2,1,1,8,3,0.466453674121,0.128128128128,0.231906438061,4,-1.0,0.000242096713732
226,2,1,1,1,1,1,8,3,0.466453674121,-1.0,0.0625638696491,4,-1.0,1.25982664785e-05
227,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0420347450891,4,-1.0,0.000182977543665
228,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0516634495288,4,-1.0,0.00018788102596
229,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0138526172363,4,-1.0,8.07787067329e-05
230,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0189621891677,4,-1.0,0.000209663245141
231,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0169183603951,4,-1.0,1.80559191817e-05
232,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0151697513342,4,-1.0,0.000189491511372
233,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0189621891677,4,-1.0,0.000388857466063
234,2,1,1,1,1,1,3,3,0.121405750799,-1.0,0.0153514250028,4,-1.0,0.000843604041069
235,2,1,1,1,1,1,9,3,0.121405750799,-1.0,0.0516634495288,4,-1.0,0.000204126966973
236,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0189621891677,4,-1.0,4.61151803488e-05
237,2,1,1,1,1,1,10,3,0.121405750799,-1.0,0.0189621891677,4,-1.0,6.71045236837e-05
243,2,1,1,2,1,2,10,3,0.654952076677,0.000750750750751,0.952583172476,4,-1.0,0.00431654676259
244,2,1,1,2,1,2,10,3,0.654952076677,0.000750750750751,0.952583172476,4,-1.0,0.00127226463104
249,1,1,1,2,1,2,10,3,0.654952076677,0.0015015015015,0.471783808334,4,-1.0,0.00160901045857
