,Max Bid,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Duration,Frequency Cap,Duration Days,conversion
0,0.0445445445445,0.504792332268,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.0,-1.0,0.993610223642,0.000785083415113
3,0.374374374374,0.504792332268,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.15637561031,-1.0,0.993610223642,0.000894231169155
4,0.374374374374,0.495207667732,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.725036902464,-1.0,0.993610223642,0.000443186309935
6,0.374374374374,0.495207667732,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.725036902464,-1.0,0.993610223642,0.000563854817826
11,0.0740740740741,0.504792332268,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.136573180425,-1.0,0.993610223642,0.000151466604527
13,0.0740740740741,0.504792332268,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.136505052799,-1.0,0.993610223642,0.000166112956811
14,0.0740740740741,0.504792332268,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.136527762007,-1.0,0.993610223642,0.000160322977926
17,0.0447947947948,0.504792332268,0.993610223642,0.993610223642,0.635782747604,1.0,0.635782747604,0.801916932907,0.980830670927,0.0109912569547,-1.0,0.993610223642,0.000265596411497
27,-1.0,0.504792332268,0.993610223642,0.993610223642,0.364217252396,1.0,0.635782747604,0.801916932907,0.980830670927,0.0388327466788,-1.0,0.993610223642,0.000765365064695
28,-1.0,0.504792332268,0.993610223642,0.993610223642,0.364217252396,1.0,0.635782747604,0.801916932907,0.980830670927,0.00197570114682,-1.0,0.993610223642,0.000182448458311
